"unitid","college","type","city","state","region","admissionRate","ACTmath","ACTenglish","undergrads","cost","gradRate","FYretention","fedloan","debt"
122506,"San Francisco Conservatory of Music","private","San Francisco","CA","Far West",0.3986,NA,NA,172,52260,0.6852,0.8649,0.5806,27000
112075,"Concordia University-Irvine","private","Irvine","CA","Far West",0.9119,22,23,1916,41233,0.6256,0.7633,0.6231,21500
234915,"City University of Seattle","private","Seattle","WA","Far West",NA,NA,NA,1162,33268,0,0.4,0.584,25000
237057,"Whitman College","private","Walla Walla","WA","Far West",0.5696,NA,NA,1525,54865,0.8775,0.9396,0.3587,15990
113698,"Dominican University of California","private","San Rafael","CA","Far West",0.7752,23,23,1567,56165,0.5387,0.8566,0.8516,27000
245838,"Antioch University-Los Angeles","private","Culver City","CA","Far West",NA,NA,NA,137,NA,NA,NA,0.4096,25329.5
210304,"Warner Pacific College","private","Portland","OR","Far West",0.5274,NA,NA,501,30830,0.3152,0.6471,0.8312,26643
110404,"California Institute of Technology","private","Pasadena","CA","Far West",0.1055,35,34,977,56382,0.9307,0.9659,0.2508,18348.5
125763,"Whittier College","private","Whittier","CA","Far West",0.6325,NA,NA,1651,49920,0.6677,0.8292,0.6934,26000
112084,"San Diego Christian College","private","El Cajon","CA","Far West",0.492,21,20,889,37696,0.4125,0.6829,0.8793,20249
441186,"San Diego State University-Imperial Valley Campus","public","Calexico","CA","Far West",0.607,20,18,693,NA,NA,NA,NA,16460
102632,"University of Alaska Southeast","public","Juneau","AK","Far West",NA,NA,NA,1488,16409,0.1389,0.7158,0.209,19437.5
236939,"Washington State University","public","Pullman","WA","Far West",0.8208,22,22,22825,26292,0.6548,0.7977,0.5109,20977
102553,"University of Alaska Anchorage","public","Anchorage","AK","Far West",NA,NA,NA,13116,13180,0.2547,0.7062,0.286,20675
110486,"California State University-Bakersfield","public","Bakersfield","CA","Far West",0.6626,20,18,7226,18061,0.3946,0.7442,0.4158,16174.5
149639,"VanderCook College of Music","private","Chicago","IL","Great Lakes",0.374,25,25,104,37343,0.6923,0.7083,0.6475,27000
170000,"Grace Bible College","private","Wyoming","MI","Great Lakes",0.7486,NA,NA,576,20912,0.4878,0.6569,0.8135,23374
151290,"Indiana Institute of Technology","private","Fort Wayne","IN","Great Lakes",0.7225,20,19,5670,35911,0.3201,0.5476,0.8535,28743.5
238333,"Beloit College","private","Beloit","WI","Great Lakes",0.6769,26,28,1244,48236,0.7815,0.9228,0.5784,26500
172033,"Sacred Heart Major Seminary","private","Detroit","MI","Great Lakes",1,NA,NA,154,NA,0.5,1,0.0833,NA
238661,"Edgewood College","private","Madison","WI","Great Lakes",0.7656,22,23,1914,35645,0.5662,0.8176,0.748,26975
144050,"University of Chicago","private","Chicago","IL","Great Lakes",0.0881,33,34,5697,62425,0.9268,0.9934,0.2933,18625
147013,"McKendree University","private","Lebanon","IL","Great Lakes",0.6289,22,22,2312,37004,0.4832,0.7465,0.5946,24250
169479,"Davenport University","private","Grand Rapids","MI","Great Lakes",0.917,NA,NA,7119,25439,0.3892,0.7887,0.6966,30250
143084,"Augustana College","private","Rock Island","IL","Great Lakes",0.5867,NA,NA,2504,45364,0.784,0.8506,0.588,27000
206507,"Wilmington College","private","Wilmington","OH","Great Lakes",0.4603,21,20,1163,39415,0.3841,0.8175,0.7822,27000
202480,"University of Dayton","private","Dayton","OH","Great Lakes",0.5297,26,27,7812,46250,0.7674,0.8858,0.6791,26863
238193,"Alverno College","private","Milwaukee","WI","Great Lakes",0.7887,19,19,1833,30496,0.3852,0.7173,0.8784,33110
169363,"Concordia University-Ann Arbor","private","Ann Arbor","MI","Great Lakes",0.5374,NA,NA,529,33441,0.3723,0.6184,0.8772,26750
206330,"Urbana University","private","Urbana","OH","Great Lakes",NA,NA,NA,1008,31686,0.3042,0.7895,0.5139,27000
205957,"Franciscan University of Steubenville","private","Steubenville","OH","Great Lakes",0.7607,25,27,2055,32761,0.7346,0.8626,0.7649,25000
204006,"Miami University-Hamilton","public","Hamilton","OH","Great Lakes",NA,NA,NA,3421,17107,0.2801,0.648,0.5892,25000
144005,"Chicago State University","public","Chicago","IL","Great Lakes",0.2865,18,18,4321,18472,0.207,0.5361,0.8495,27499
204024,"Miami University-Oxford","public","Oxford","OH","Great Lakes",0.6676,27,29,15378,30858,0.8084,0.8957,0.4162,25000
201885,"University of Cincinnati-Main Campus","public","Cincinnati","OH","Great Lakes",0.7325,26,25,23360,25799,0.579,0.8462,0.5545,23947.5
202134,"Cleveland State University","public","Cleveland","OH","Great Lakes",0.6287,22,22,11484,22041,0.3198,0.6721,0.6316,24000
169248,"Central Michigan University","public","Mount Pleasant","MI","Great Lakes",0.6304,22,22,20070,21523,0.5929,0.7671,0.7469,27000
163046,"Loyola University Maryland","private","Baltimore","MD","Mid East",0.58,26,27,3972,56736,0.8437,0.8731,0.5407,27000
195243,"St Thomas Aquinas College","private","Sparkill","NY","Mid East",0.8224,NA,NA,1279,36823,0.5278,0.737,0.4761,23200
190752,"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","private","Far Rockaway","NY","Mid East",1,NA,NA,57,NA,0.4348,0.8636,0,NA
191676,"Houghton College","private","Houghton","NY","Mid East",0.9108,24,24,1047,38352,0.7386,0.8755,0.6783,23500
188526,"Albany College of Pharmacy and Health Sciences","private","Albany","NY","Mid East",0.634,NA,NA,1075,40718,0.7235,0.8097,0.814,25000
190761,"Dominican College of Blauvelt","private","Orangeburg","NY","Mid East",0.7189,NA,NA,1505,35825,0.3565,0.6689,0.879,29250
196680,"Excelsior College","private","Albany","NY","Mid East",NA,NA,NA,37440,NA,NA,NA,0.0689,10453
